id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;PDCACO;CACONDE;42.0;14.0;2025-01-01;849.1699829101562;750.5599975585938;67.73999786376953;137.6699981689453;32.0;0.0;0.0;32.0;0.0;128.58999633789062;;128.58999633789062;0.24500000476837158;0.4099999964237213;138.3300018310547
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;PDECUN;E. DA CUNHA;43.0;15.0;2025-01-01;664.6500244140625;577.8499755859375;91.9000015258789;97.66000366210938;95.0;0.0;0.0;95.0;0.0;217.6699981689453;;81.18000030517578;0.010999999940395355;0.6800000071525574;71.44000244140625
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;PDLIMO;LIMOEIRO;44.0;16.0;2025-01-01;572.5599975585938;546.97998046875;91.93000030517578;92.44999694824219;95.0;0.0;0.0;95.0;0.0;223.63999938964844;;3.2699999809265137;;;-2.0999999046325684
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRMARI;MARIMBONDO;45.0;17.0;2025-01-01;443.0199890136719;380.42999267578125;74.4800033569336;1653.4100341796875;621.0;0.0;373.0;621.0;;3681.800048828125;;1024.449951171875;3.9070000648498535;15.38230037689209;926.989990234375
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRAGVL;A. VERMELHA;46.0;18.0;2025-01-01;379.8500061035156;326.8500061035156;59.68000030517578;1371.81005859375;1177.0;0.0;0.0;1177.0;0.0;4121.47998046875;;772.2999877929688;4.613999843597412;18.53260040283203;689.0800170898438
SE;Sudeste/Centro-Oeste;FIO;ITABAPOANA;SUDESTE;ITRSL;ROSAL;66.0;217.0;2025-01-01;555.530029296875;361.17999267578125;110.43000030517578;72.7300033569336;32.0;40.0;2.0;74.0;;93.26000213623047;;93.26000213623047;-0.0020000000949949026;0.11999999731779099;72.83999633789062
SE;Sudeste/Centro-Oeste;RCU;JEQUITINHONHA;SUDESTE;JEIRAP;IRAPE;67.0;148.0;2025-01-01;494.739990234375;330.010009765625;51.65999984741211;380.510009765625;51.0;0.0;;51.0;;379.8999938964844;;379.8999938964844;-0.7409999966621399;0.12999999523162842;379.8999938964844
SE;Sudeste/Centro-Oeste;FIO;MUCURI;SUDESTE;MUSCLA;STA.CLARA-MG;81.0;283.0;2025-01-01;85.16999816894531;32.9900016784668;81.97000122070312;41.15999984741211;26.0;0.0;0.0;26.0;0.0;40.90999984741211;;40.90999984741211;-0.04899999871850014;0.6129000186920166;41.72999954223633
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBPARA;PARAIBUNA;82.0;121.0;2025-01-01;709.5;624.8699951171875;71.56999969482422;91.30999755859375;19.0;0.0;0.0;19.0;;146.77000427246094;;146.77000427246094;-2.571000099182129;0.14000000059604645;88.87999725341797
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBSTAB;SANTA BRANCA;83.0;122.0;2025-01-01;615.4000244140625;575.9500122070312;49.689998626708984;30.030000686645508;35.0;0.0;0.0;35.0;0.0;172.27999877929688;;21.350000381469727;-0.17299999296665192;0.1599999964237213;9.630000114440918
